,CO2,HR,OCC,DAY
1,25.56333333,1.34E-06,1,2
2,29.72666667,2.62E-05,1,2
3,38.45666667,5.16E-05,1,2
4,52.63333333,3.75E-05,1,2
5,36.22,3.61E-05,1,2
6,33.63666667,3.29E-05,1,2
7,24.70904762,2.69E-05,1,2
8,24.88761905,3.20E-05,1,2
9,19.96238095,8.48E-06,1,2
10,18.12428571,8.36E-07,1,2
11,12.22,3.59E-06,1,2
12,20.34666667,1.67E-05,1,2
13,17.56333333,2.20E-05,1,2
14,9.506666667,1.09E-05,1,2
15,7.103333333,-2.18E-05,1,2
16,-1.193333333,-1.08E-05,1,2
17,19.66333333,1.46E-05,1,2
18,21.78666667,1.24E-05,1,2
19,9.446666667,8.62E-06,1,2
20,-93.01333333,-0.000224323,1,2
21,-13.24333333,1.19E-05,1,2
22,20.66333333,1.79E-05,1,2
23,5.386666667,-7.33E-07,1,2
24,-25.23333333,-9.26E-05,1,2
25,-39.78142857,-9.49E-05,1,2
26,-32.00857143,-7.97E-05,1,2
27,-25.51666667,-7.73E-05,1,2
28,-29.17666667,-6.47E-05,1,2
29,-16.79333333,-4.14E-05,1,2
30,-25.18666667,-7.19E-05,1,2
31,-12.63,-4.13E-05,1,2
32,-23.23,-4.58E-05,1,2
33,-23.05,-2.08E-05,1,2
34,-5.72,-3.24E-06,1,2
35,-8.47,-6.28E-06,1,2
36,-3.65,-2.00E-05,1,2
37,-5.82,-2.28E-05,1,2
38,23.31,4.05E-05,1,2
39,14.43,1.90E-05,0.8,2
40,0.61,2.47E-06,0,2
41,-24.67,-3.98E-05,0,2
42,-15.35,-2.58E-05,0,2
43,-13.04333333,-3.04E-05,0,2
44,-20.23166667,-2.48E-05,0.6,2
45,8.625,3.41E-05,1,2
46,0.976666667,-3.41E-06,0,2
47,-16.05,-3.84E-05,0,2
48,-12.86333333,-2.67E-05,0,2
49,-15.06666667,-3.74E-05,0,2
50,-20.31666667,-9.59E-06,0,2
51,-10.15666667,-5.03E-05,0,2
52,-15.44333333,-3.52E-05,0,2
53,-8.1,-3.38E-05,0,2
54,-20.43666667,-3.06E-05,0,2
55,-12.51333333,-3.71E-05,0,2
56,-11.26666667,-3.09E-05,0,2
57,-11.26666667,-9.06E-06,0,2
58,-12.83333333,-8.77E-06,0,2
59,-7.516666667,-3.09E-05,0,2
